"2023 American League Team Standings
2023 All-Star Game | 2023 Team Standings | 2023 World Series"
East,Team | Roster,W,L,T,WP,GB
Baltimore Orioles,101,61,0,.623,-
Tampa Bay Rays,99,63,0,.611,2.0
Toronto Blue Jays,89,73,0,.549,12.0
New York Yankees,82,80,0,.506,19.0
Boston Red Sox,78,84,0,.481,23.0
Central,Team | Roster,W,L,T,WP,GB
Minnesota Twins,87,75,0,.537,-
Detroit Tigers,78,84,0,.481,9.0
Cleveland Guardians,76,86,0,.469,11.0
Chicago White Sox,61,101,0,.377,26.0
Kansas City Royals,56,106,0,.346,31.0
West,Team | Roster,W,L,T,WP,GB
Houston Astros,90,72,0,.556,-
Texas Rangers,90,72,0,.556,-
Seattle Mariners,88,74,0,.543,2.0
Los Angeles Angels,73,89,0,.451,17.0
Oakland Athletics,50,112,0,.309,40.0
A.L.,Team | Roster,W,L,T,WP,GB
2023 American League Standings
