"2025 American League Pitcher Review
← 2024 | 2025 Pitching Statistics League Leaders | 2026 →"
Statistic,Name,Team,#,Top 25
Complete Games,Tanner Bibee,Cleveland,2,Top 25
Framber Valdez,Houston,2
ERA,Tarik Skubal,Detroit,2.21,Top 25
Games,Brendon Little,Toronto,79,Top 25
Saves,Carlos Estévez,Kansas City,42,Top 25
Shutouts,Tanner Bibee,Cleveland,1,Top 25
Garrett Crochet,Boston,1
Nathan Eovaldi,Texas,1
Kevin Gausman,Toronto,1
Tarik Skubal,Detroit,1
Strikeouts,Garrett Crochet,Boston,255,Top 25
Winning Percentage,Max Fried,New York,.792,Top 25
Wins,Max Fried,New York,19,Top 25
Statistic,Name,Team,#,Top 25
2025 A.L. History | 2025 N.L. History | Year-by-Year History
