"2016 American League Player Review
← 2015 | 2016 Hitting Statistics League Leaders | 2017 →"
Statistic,Name,Team,#,Top 25
Base on Balls,Mike Trout,Los Angeles,116,Top 25
Batting Average,Jose Altuve,Houston,.338,Top 25
Doubles,David Ortiz,Boston,48,Top 25
Hits,Jose Altuve,Houston,216,Top 25
Home Runs,Mark Trumbo,Baltimore,47,Top 25
On Base Percentage,Mike Trout,Los Angeles,.441,Top 25
RBI,Edwin Encarnacion,Toronto,127,Top 25
David Ortiz,Boston,127
Runs,Mike Trout,Los Angeles,123,Top 25
Slugging Average,David Ortiz,Boston,.620,Top 25
Stolen Bases,Rajai Davis,Cleveland,43,Top 25
Total Bases,Mookie Betts,Boston,359,Top 25
Triples,Adam Eaton,Chicago,9,Top 25
Statistic,Name,Team,#,Top 25
