"2013 American League
Team Standings"
East,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
Boston Red Sox,97,65,0,.599,--,$
Tampa Bay Rays,92,71,0,.564,5½,$
Baltimore Orioles,85,77,0,.525,12,$
New York Yankees,85,77,0,.525,12,$
Toronto Blue Jays,74,88,0,.457,23,$
Central,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
Detroit Tigers,93,69,0,.574,--,$
Cleveland Indians,92,70,0,.568,1,$
Kansas City Royals,86,76,0,.531,7,$
Minnesota Twins,66,96,0,.407,27,$
Chicago White Sox,63,99,0,.389,30,$
West,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
Oakland Athletics,96,66,0,.593,--,$
Texas Rangers,91,72,0,.558,5½,$
Los Angeles Angels,78,84,0,.481,18,$
Seattle Mariners,71,91,0,.438,25,$
Houston Astros,51,111,0,.315,45,$
2013 American League Final Standings
"Seasonal Events: All-Star Game | Home Run Derby | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: N.L. Leaderboard | Rookies List"
