"2019 American League Pitcher Review
← 2018 | 2019 Pitching Statistics League Leaders | 2020 →"
Statistic,Name,Team,#,Top 25
Complete Games,Shane Bieber,Cleveland Indians,3,Top 25
Lucas Giolito,Chicago White Sox,3
ERA,Gerrit Cole,Houston Astros,2.50,Top 25
Games,Yusmeiro Petit,Oakland Athletics,80,Top 25
Saves,Roberto Osuna,Houston Astros,38,Top 25
Shutouts,Shane Bieber,Cleveland Indians,2,Top 25
Lucas Giolito,Chicago White Sox,2
Strikeouts,Gerrit Cole,Houston Astros,326,Top 25
Winning Percentage,Gerrit Cole,Houston Astros,.800,Top 25
Wins,Justin Verlander,Houston Astros,21,Top 25
Statistic,Name,Team,#,Top 25
