"2019 American League
Team Standings"
East,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
New York Yankees,103,59,0,.636,--,"$208,084,848"
Tampa Bay Rays,96,66,0,.593,7.0,"$60,444,931"
Boston Red Sox,84,78,0,.519,19.0,"$222,171,123"
Toronto Blue Jays,67,95,0,.414,36.0,"$112,037,006"
Baltimore Orioles,54,108,0,.333,49.0,"$72,722,906"
Central,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
Minnesota Twins,101,61,0,.623,--,"$121,276,933"
Cleveland Indians,93,69,0,.574,8.0,"$119,241,701"
Chicago White Sox,72,89,0,.447,28.5,"$89,354,534"
Kansas City Royals,59,103,0,.364,42.0,"$100,658,316"
Detroit Tigers,47,114,0,.292,53.5,"$116,478,400"
West,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
Houston Astros,107,55,0,.660,--,"$160,774,666"
Oakland Athletics,97,65,0,.599,10.0,"$92,318,333"
Texas Rangers,78,84,0,.481,29.0,"$127,660,652"
Los Angeles Angels,72,90,0,.444,35.0,"$159,378,583"
Seattle Mariners,68,94,0,.420,39.0,"$150,906,143"
2019 American League Standings
"Seasonal Events: All-Star Game | Home Run Derby | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: N.L. Leaderboard | Rookies List"
